"Story","Title","Result","Date","Stability","Duration (s)"
"Articles page","Verify the story details on story_log table for Mini reg user type","SUCCESS","2019-08-20T21:24:38.842+05:30[Asia/Calcutta]","0.0","112.76"
"Contest entry","Verify Registration and First search contest entry for mini reg user","SUCCESS","2019-08-20T21:33:38.267+05:30[Asia/Calcutta]","0.0","86.6"
"Contest entry","Verify Registration and First search contest entry for silver user","SUCCESS","2019-08-20T21:35:04.998+05:30[Asia/Calcutta]","0.0","96.42"
"Contest entry","Verify failed contest entries","SUCCESS","2019-08-20T21:38:44.738+05:30[Asia/Calcutta]","0.0","397.07"
"High risk","Verify the display of the 26th max search light box","SUCCESS","2019-08-20T21:50:00.894+05:30[Asia/Calcutta]","0.0","83.6"
"High risk","Verify the display of the 40th warning light box","SUCCESS","2019-08-20T21:51:24.639+05:30[Asia/Calcutta]","0.0","61.33"
"High risk","Verify the display of the 75th search warning light box","SUCCESS","2019-08-20T21:52:26.301+05:30[Asia/Calcutta]","0.0","70.75"
"High risk","Verify the display of the 500th disable search light box","SUCCESS","2019-08-20T21:53:37.199+05:30[Asia/Calcutta]","0.0","56.11"
"Optin","Verify the Optin light box when the user redirects from other property site","SUCCESS","2019-08-20T22:00:29.831+05:30[Asia/Calcutta]","0.0","80.12"
"Lottery","Verify Lottery page and cliam tokens scenario.","SUCCESS","2019-08-20T22:01:52.001+05:30[Asia/Calcutta]","0.0","311.53"
"Lottery","Verify future drawing and different locations for lottery results","SUCCESS","2019-08-20T22:07:03.672+05:30[Asia/Calcutta]","0.0","117.66"
"Ads","Verify ads on Homepage","SUCCESS","2019-08-20T22:11:03.307+05:30[Asia/Calcutta]","0.0","129.73"
"Ads","Verify ads on Category pages","SUCCESS","2019-08-20T22:13:13.153+05:30[Asia/Calcutta]","0.0","116.29"
"Homepage","Verify the Homepage categories","SUCCESS","2019-08-20T22:30:39.089+05:30[Asia/Calcutta]","0.0","133.57"
"Homepage","Verify the our picks section","SUCCESS","2019-08-20T22:32:52.838+05:30[Asia/Calcutta]","0.0","75.21"
"Sams banner","Verify the fallback banner instead of SAMS banner on homepage","SUCCESS","2019-08-20T22:37:55.018+05:30[Asia/Calcutta]","0.0","152.5"
"Videos","Verify the video page redirection and claimed tokens by playing video.","SUCCESS","2019-08-20T23:05:16.485+05:30[Asia/Calcutta]","0.0","348.4"
"Videos","Verify the video details on video_log table for Full Reg user","SUCCESS","2019-08-20T23:11:05.119+05:30[Asia/Calcutta]","0.0","965.43"
"Videos","Verify the video details on video_log table for Mini reg user type","SUCCESS","2019-08-20T23:27:10.755+05:30[Asia/Calcutta]","0.0","386.87"
"Videos","Verify the video details on video_log table for Silver user type","SUCCESS","2019-08-20T23:38:01.015+05:30[Asia/Calcutta]","0.0","380.56"
"NFSP validation","Verify default NFSP","SUCCESS","2019-08-20T23:44:23.129+05:30[Asia/Calcutta]","0.0","121.45"
"NFSP validation","Verify the algo NFSP value for UnRecognised User","SUCCESS","2019-08-20T23:46:24.706+05:30[Asia/Calcutta]","0.0","65.63"
"NFSP validation","Verify the algo NFSP value for Recognised User","SUCCESS","2019-08-20T23:47:30.465+05:30[Asia/Calcutta]","0.0","61.49"
"NFSP validation","Verify algo NFSP value for algo only segmented users","SUCCESS","2019-08-20T23:48:32.103+05:30[Asia/Calcutta]","0.0","114.37"
"NFSP validation","Verify segmented NFSP value for segmented users","SUCCESS","2019-08-20T23:50:26.72+05:30[Asia/Calcutta]","0.0","144.22"
"NFSP validation","Verify NFSP value by passing NFSP in URL","SUCCESS","2019-08-20T23:52:51.052+05:30[Asia/Calcutta]","0.0","98.41"
"SERP validation","Verify serp page for guest user","SUCCESS","2019-08-20T23:54:31.207+05:30[Asia/Calcutta]","0.0","277.49"
"SERP validation","Verify serp page for Fully registered user","SUCCESS","2019-08-20T23:59:08.878+05:30[Asia/Calcutta]","0.0","44.79"
"SERP validation","Verify serp page for mini reg user","SUCCESS","2019-08-20T23:59:53.8+05:30[Asia/Calcutta]","0.0","93.54"
"SERP validation","Verify serp page for silver user","SUCCESS","2019-08-21T00:01:27.481+05:30[Asia/Calcutta]","0.0","82.46"
"SERP validation","Validating search results for encode characters","SUCCESS","2019-08-21T00:07:52.238+05:30[Asia/Calcutta]","0.0","144.15"
"Suspicious terms","Verify serp page on searching with suspicious terms","SUCCESS","2019-08-21T00:15:55.008+05:30[Asia/Calcutta]","0.0","77.39"
"Mini reg","Verify the complete registration functionality for Mini reg user type","SUCCESS","2019-08-21T00:38:52.588+05:30[Asia/Calcutta]","0.0","266.92"
"Mini reg","Do a search and verify the complete registration functionality for Mini reg user type","SUCCESS","2019-08-21T00:43:19.634+05:30[Asia/Calcutta]","0.0","108.14"
"Weather","Verify the Weather Climate history","SUCCESS","2019-08-21T01:14:36.048+05:30[Asia/Calcutta]","0.0","94.22"
